telescope,z,variance_mK2,mode_count,peak_kperp,peak_density,peak_group_fraction,peak_zero_edge_gap
ska_mid1_interferom,0.36475381470879537,0.022046030133440957,34831216,0.2355275694930816,0.0011705185958653345,0.0008352165043294909,1626.86312619108
ska_mid1_interferom,0.36500378373646136,0.02210708668125143,34870000,0.2355275694930816,0.0011712685291321346,0.0008339552742925963,1625.5618569701828
ska_mid1_interferom,0.3652537527641273,0.022192531298243452,34939488,0.2355275694930816,0.0011720188300640682,0.0008317864082989039,1624.2624496687874
ska_mid1_interferom,0.36550372179179325,0.02224880569899864,34971808,0.2355275694930816,0.0011727694987676526,0.000830722401627637,1622.9649004180783
ska_mid1_interferom,0.3657536908194592,0.022315461627103034,35017056,0.2355275694930816,0.0011735205353494082,0.0008292782847986677,1621.6692053598488
ska_mid1_interferom,0.3660036598471252,0.022392522060475498,35075232,0.2355275694930816,0.001174271939915858,0.0008274586114124182,1620.3753606464663
ska_mid1_interferom,0.3662536288747911,0.022464647368839023,35126944,0.2355275694930816,0.0011750237125735265,0.0008258332924304134,1619.083362440837
ska_mid1_interferom,0.36650359790245707,0.022540805014733056,35183504,0.2355275694930816,0.0011757758534289443,0.0008240714203946772,1617.7932069163612
ska_mid1_interferom,0.366753566930123,0.022605721379181376,35225728,0.2355275694930816,0.0011765283625886414,0.0008227308214632616,1616.5048902569094
ska_mid1_interferom,0.367003535957789,0.022678543932400753,35277696,0.2355275694930816,0.0011772812401591526,0.0008211120296428207,1615.2184086567777
ska_mid1_interferom,0.36725350498545495,0.02273597329181177,35310176,0.2355275694930816,0.0011780344862470137,0.0008200589221518975,1613.9337583206627
ska_mid1_interferom,0.3675034740131209,0.022806556624122065,35358896,0.2355275694930816,0.0011787881009587534,0.0008185392281510059,1612.6509354636587
ska_mid1_interferom,0.3677534430407869,0.022877312473461774,35407616,0.2355275694930816,0.001179542084400896,0.0008170232305630639,1611.3699363112094
ska_mid1_interferom,0.36800341206845283,0.02295087267280915,35459584,0.2355275694930816,0.0011802964366799664,0.0008154174124653135,1610.090757099054
ska_mid1_interferom,0.36825338109611877,0.023015434070881607,35500184,0.2355275694930816,0.0011810511579024956,0.0008141405279093849,1608.81339407318
ska_mid1_interferom,0.3685033501237847,0.02310636383238239,35573264,0.2355275694930816,0.0011818062481750169,0.0008119436351348763,1607.5378434897812
ska_mid1_interferom,0.3687533191514507,0.023169987732321456,35612240,0.2355275694930816,0.0011825617076040836,0.0008107187461705463,1606.2641016151747
ska_mid1_interferom,0.36900328817911665,0.023236382029332966,35654464,0.2355275694930816,0.0011833175362962513,0.0008094045230173845,1604.992164725828
ska_mid1_interferom,0.3692532572067826,0.023297705456581705,35690240,0.2355275694930816,0.001184073734358078,0.0008082741454269312,1603.7220291083236
ska_mid1_interferom,0.36950322623444853,0.02336985970879047,35739200,0.2355275694930816,0.0011848303018961235,0.0008067760952510923,1602.4536910593267
ska_mid1_interferom,0.36975319526211453,0.023452822424523664,35801216,0.2355275694930816,0.0011855872390169428,0.0008049166086410991,1601.1871468855836
ska_mid1_interferom,0.3700031642897805,0.023514678017280813,35837120,0.2355275694930816,0.0011863445458270888,0.0008037915436398357,1599.9223929038703
ska_mid1_interferom,0.3702531333174464,0.02358468646727598,35882816,0.2355275694930816,0.0011871022224331147,0.0008023953738112036,1598.6594254409445
ska_mid1_interferom,0.3705031023451124,0.023669559248349438,35946464,0.2355275694930816,0.0011878602689415793,0.0008005049017224752,1597.3982408335062
ska_mid1_interferom,0.37075307137277835,0.023737278376260385,35988896,0.2355275694930816,0.0011885973641744484,0.0007992198598641372,1596.1388354281762
ska_mid1_interferom,0.3710030404004443,0.02381993525467244,36049280,0.2355275694930816,0.0011893027100562982,0.0007974637423086677,1594.8812055814594
ska_mid1_interferom,0.37125300942811024,0.023882628895325633,36085184,0.2355275694930816,0.0011900083783230636,0.0007963854378150558,1593.625347659706
ska_mid1_interferom,0.37150297845577623,0.02395085301094409,36127616,0.2355275694930816,0.001190714369063801,0.0007951296665992006,1592.3712580390782
ska_mid1_interferom,0.3717529474834422,0.02401922988486105,36170048,0.2355275694930816,0.0011914206823675682,0.0007938765104670327,1591.1189331055225
